"run_index","capital","days","yearly_interest_rate"
0,100.00,361,5.00
0,1000000.00,361,5.75
0,500000.00,361,5.75
1,101.00,361,5.00
1,250000.00,361,5.75
1,499999.00,361,5.75
2,102.00,361,5.00
2,130000.00,361,5.75
2,249999.00,361,5.75
3,103.00,361,5.00
3,70000.00,361,5.65
3,129999.00,361,5.75
4,70001.00,361,5.65
4,100000.00,361,5.65
4,129998.00,361,5.75
5,100001.00,361,5.75
5,110000.00,361,5.75
5,129997.00,361,5.75
6,104.00,361,5.00
6,40000.00,361,5.55
6,69999.00,361,5.65
7,40001.00,361,5.55
7,50000.00,361,5.55
7,69998.00,361,5.65
8,50001.00,361,5.65
8,60000.00,361,5.65
8,69997.00,361,5.65
9,105.00,361,5.00
9,20000.00,361,5.45
9,39999.00,361,5.55
10,20001.00,361,5.50
10,30000.00,361,5.50
10,39998.00,361,5.55
11,30001.00,361,5.50
11,35000.00,361,5.50
11,39997.00,361,5.55
12,35001.00,361,5.55
12,37000.00,361,5.55
12,39996.00,361,5.55
13,106.00,361,5.00
13,10000.00,361,5.35
13,19999.00,361,5.45
14,10001.00,361,5.35
14,15000.00,361,5.45
14,19998.00,361,5.45
15,10002.00,361,5.35
15,13000.00,361,5.45
15,14999.00,361,5.45
16,10003.00,361,5.35
16,12000.00,361,5.35
16,12999.00,361,5.45
17,12001.00,361,5.45
17,12500.00,361,5.45
17,12998.00,361,5.45
18,107.00,361,5.00
18,5000.00,361,5.30
18,9999.00,361,5.35
19,5001.00,361,5.30
19,7000.00,361,5.30
19,9998.00,361,5.35
20,7001.00,361,5.30
20,8000.00,361,5.35
20,9997.00,361,5.35
21,7002.00,361,5.30
21,7500.00,361,5.30
21,7999.00,361,5.35
22,7501.00,361,5.35
22,7750.00,361,5.35
22,7998.00,361,5.35
23,108.00,361,5.00
23,3000.00,361,5.25
23,4999.00,361,5.30
24,3001.00,361,5.25
24,4000.00,361,5.25
24,4998.00,361,5.30
25,4001.00,361,5.25
25,4500.00,361,5.25
25,4997.00,361,5.30
26,4501.00,361,5.30
26,4749.00,361,5.30
26,4996.00,361,5.30
27,109.00,361,5.00
27,2000.00,361,5.15
27,2999.00,361,5.25
28,2001.00,361,5.15
28,2500.00,361,5.15
28,2998.00,361,5.25
29,2501.00,361,5.25
29,2749.00,361,5.25
29,2997.00,361,5.25
30,110.00,361,5.00
30,1000.00,361,5.00
30,1999.00,361,5.15
31,1001.00,361,5.15
31,1500.00,361,5.15
31,1998.00,361,5.15
