"run_index","capital","days","yearly_interest_rate"
0,100.00,31,3.45
1,500000.00,31,4.40
2,1000000.00,31,4.40
3,101.00,31,3.45
4,250000.00,31,4.40
5,499999.00,31,4.40
6,102.00,31,3.45
7,125000.00,31,4.40
8,249999.00,31,4.40
9,103.00,31,3.45
10,75000.00,31,4.30
11,124999.00,31,4.40
12,75001.00,31,4.30
13,100000.00,31,4.30
14,124998.00,31,4.40
15,100001.00,31,4.40
16,110000.00,31,4.40
17,124997.00,31,4.40
18,104.00,31,3.45
19,50000.00,31,4.20
20,74999.00,31,4.30
21,50001.00,31,4.30
22,60000.00,31,4.30
23,74998.00,31,4.30
24,105.00,31,3.45
25,25000.00,31,4.15
26,49999.00,31,4.20
27,25001.00,31,4.15
28,40000.00,31,4.20
29,49998.00,31,4.20
30,25002.00,31,4.15
31,30000.00,31,4.15
32,39999.00,31,4.20
33,30001.00,31,4.15
34,35000.00,31,4.15
35,39998.00,31,4.20
36,35001.00,31,4.20
37,37000.00,31,4.20
38,39997.00,31,4.20
39,106.00,31,3.45
40,10000.00,31,3.80
41,24999.00,31,4.15
42,10001.00,31,3.80
43,20000.00,31,4.10
44,24998.00,31,4.15
45,20001.00,31,4.15
46,22000.00,31,4.15
47,24997.00,31,4.15
48,10002.00,31,3.80
49,15000.00,31,4.10
50,19999.00,31,4.10
51,10003.00,31,3.80
52,13000.00,31,4.10
53,14999.00,31,4.10
54,10004.00,31,3.80
55,12000.00,31,3.80
56,12999.00,31,4.10
57,12001.00,31,4.10
58,12500.00,31,4.10
59,12998.00,31,4.10
60,107.00,31,3.45
61,5000.00,31,3.70
62,9999.00,31,3.80
63,5001.00,31,3.70
64,7000.00,31,3.70
65,9998.00,31,3.80
66,7001.00,31,3.70
67,8000.00,31,3.80
68,9997.00,31,3.80
69,7002.00,31,3.70
70,7500.00,31,3.70
71,7999.00,31,3.80
72,7501.00,31,3.80
73,7750.00,31,3.80
74,7998.00,31,3.80
75,108.00,31,3.45
76,3000.00,31,3.65
77,4999.00,31,3.70
78,3001.00,31,3.65
79,4000.00,31,3.65
80,4998.00,31,3.70
81,4001.00,31,3.65
82,4500.00,31,3.65
83,4997.00,31,3.70
84,4501.00,31,3.70
85,4749.00,31,3.70
86,4996.00,31,3.70
87,109.00,31,3.45
88,2000.00,31,3.55
89,2999.00,31,3.65
90,2001.00,31,3.55
91,2500.00,31,3.55
92,2998.00,31,3.65
93,2501.00,31,3.65
94,2749.00,31,3.65
95,2997.00,31,3.65
96,110.00,31,3.45
97,1000.00,31,3.45
98,1999.00,31,3.55
99,1001.00,31,3.55
100,1500.00,31,3.55
101,1998.00,31,3.55
102,1000000.00,59,4.40
103,100001.00,59,4.40
104,100000.00,59,4.30
105,50001.00,59,4.30
106,50000.00,59,4.20
107,35001.00,59,4.20
108,35000.00,59,4.15
109,20001.00,59,4.15
110,20000.00,59,4.10
111,12001.00,59,4.10
112,12000.00,59,3.80
113,7501.00,59,3.80
114,7500.00,59,3.70
115,4501.00,59,3.70
116,4500.00,59,3.65
117,2501.00,59,3.65
118,2500.00,59,3.55
119,1001.00,59,3.55
120,1000.00,59,3.45
121,100.00,59,3.45
