"days","capital","captured_at","interest_rate"
31,100,2025-11-23 22:43:48.451,3.45
31,1000,2025-11-23 22:43:48.460,3.45
31,1001,2025-11-23 22:43:48.461,3.55
31,2500,2025-11-23 22:43:48.462,3.55
31,2501,2025-11-23 22:43:48.464,3.65
31,4500,2025-11-23 22:43:48.465,3.65
31,4501,2025-11-23 22:43:48.466,3.70
31,7500,2025-11-23 22:43:48.467,3.70
31,7501,2025-11-23 22:43:48.467,3.80
31,12000,2025-11-23 22:43:48.468,3.80
31,12001,2025-11-23 22:43:48.469,4.10
31,20000,2025-11-23 22:43:48.470,4.10
31,20001,2025-11-23 22:43:48.471,4.15
31,35000,2025-11-23 22:43:48.472,4.15
31,35001,2025-11-23 22:43:48.473,4.20
31,50000,2025-11-23 22:43:48.474,4.20
31,50001,2025-11-23 22:43:48.475,4.30
31,100000,2025-11-23 22:43:48.476,4.30
31,100001,2025-11-23 22:43:48.477,4.40
31,1000000,2025-11-23 22:43:48.478,4.40
59,100,2025-11-23 22:43:48.479,3.45
59,1000,2025-11-23 22:43:48.480,3.45
59,1001,2025-11-23 22:43:48.481,3.55
59,2500,2025-11-23 22:43:48.482,3.55
59,2501,2025-11-23 22:43:48.482,3.65
59,4500,2025-11-23 22:43:48.483,3.65
59,4501,2025-11-23 22:43:48.484,3.70
59,7500,2025-11-23 22:43:48.485,3.70
59,7501,2025-11-23 22:43:48.486,3.80
59,12000,2025-11-23 22:43:48.487,3.80
59,12001,2025-11-23 22:43:48.487,4.10
59,20000,2025-11-23 22:43:48.488,4.10
59,20001,2025-11-23 22:43:48.490,4.15
59,35000,2025-11-23 22:43:48.490,4.15
59,35001,2025-11-23 22:43:48.491,4.20
59,50000,2025-11-23 22:43:48.492,4.20
59,50001,2025-11-23 22:43:48.493,4.30
59,100000,2025-11-23 22:43:48.494,4.30
59,100001,2025-11-23 22:43:48.495,4.40
59,1000000,2025-11-23 22:43:48.496,4.40
60,100,2025-11-23 22:43:48.496,3.75
60,1000,2025-11-23 22:43:48.497,3.75
60,1001,2025-11-23 22:43:48.498,3.85
60,2500,2025-11-23 22:43:48.499,3.85
60,2501,2025-11-23 22:43:48.500,3.95
60,4500,2025-11-23 22:43:48.501,3.95
60,4501,2025-11-23 22:43:48.502,4
60,7500,2025-11-23 22:43:48.503,4
60,7501,2025-11-23 22:43:48.504,4.10
60,12000,2025-11-23 22:43:48.505,4.10
60,12001,2025-11-23 22:43:48.506,4.40
60,20000,2025-11-23 22:43:48.506,4.40
60,20001,2025-11-23 22:43:48.507,4.45
60,35000,2025-11-23 22:43:48.508,4.45
60,35001,2025-11-23 22:43:48.509,4.50
60,50000,2025-11-23 22:43:48.510,4.50
60,50001,2025-11-23 22:43:48.510,4.60
60,100000,2025-11-23 22:43:48.511,4.60
60,100001,2025-11-23 22:43:48.512,4.70
60,1000000,2025-11-23 22:43:48.513,4.70
89,100,2025-11-23 22:43:48.514,3.75
89,1000,2025-11-23 22:43:48.515,3.75
89,1001,2025-11-23 22:43:48.515,3.85
89,2500,2025-11-23 22:43:48.516,3.85
89,2501,2025-11-23 22:43:48.517,3.95
89,4500,2025-11-23 22:43:48.518,3.95
89,4501,2025-11-23 22:43:48.518,4
89,7500,2025-11-23 22:43:48.519,4
89,7501,2025-11-23 22:43:48.520,4.10
89,12000,2025-11-23 22:43:48.521,4.10
89,12001,2025-11-23 22:43:48.521,4.40
89,20000,2025-11-23 22:43:48.523,4.40
89,20001,2025-11-23 22:43:48.523,4.45
89,35000,2025-11-23 22:43:48.524,4.45
89,35001,2025-11-23 22:43:48.525,4.50
89,50000,2025-11-23 22:43:48.526,4.50
89,50001,2025-11-23 22:43:48.526,4.60
89,100000,2025-11-23 22:43:48.527,4.60
89,100001,2025-11-23 22:43:48.528,4.70
89,1000000,2025-11-23 22:43:48.529,4.70
90,100,2025-11-23 22:43:48.529,3.85
90,1000,2025-11-23 22:43:48.530,3.85
90,1001,2025-11-23 22:43:48.531,4.05
90,2500,2025-11-23 22:43:48.532,4.05
90,2501,2025-11-23 22:43:48.533,4.25
90,4500,2025-11-23 22:43:48.534,4.25
90,4501,2025-11-23 22:43:48.534,4.30
90,7500,2025-11-23 22:43:48.535,4.30
90,7501,2025-11-23 22:43:48.536,4.40
90,12000,2025-11-23 22:43:48.536,4.40
90,12001,2025-11-23 22:43:48.537,4.60
90,20000,2025-11-23 22:43:48.538,4.60
90,20001,2025-11-23 22:43:48.538,4.65
90,35000,2025-11-23 22:43:48.539,4.65
90,35001,2025-11-23 22:43:48.540,4.70
90,50000,2025-11-23 22:43:48.541,4.70
90,50001,2025-11-23 22:43:48.542,4.80
90,100000,2025-11-23 22:43:48.543,4.80
90,100001,2025-11-23 22:43:48.543,4.90
