"days","log_capital","capital","captured_at","interest_rate"
265,3.47,2980,2025-10-21 20:34:56.035,4.85
265,3.48,3000,2025-10-21 20:34:56.081,4.85
265,3.48,3020,2025-10-21 20:34:56.112,4.85
265,3.78,5980,2025-10-21 20:34:56.138,4.90
265,3.78,6000,2025-10-21 20:34:56.164,4.90
265,3.78,6020,2025-10-21 20:34:56.191,4.90
265,3.95,8980,2025-10-21 20:34:56.218,4.95
265,3.95,9000,2025-10-21 20:34:56.245,4.95
265,3.96,9020,2025-10-21 20:34:56.271,4.95
265,4.08,11980,2025-10-21 20:34:56.299,4.95
265,4.08,12000,2025-10-21 20:34:56.325,4.95
265,4.08,12020,2025-10-21 20:34:56.351,5
265,4.18,14980,2025-10-21 20:34:56.379,5
265,4.18,15000,2025-10-21 20:34:56.405,5
265,4.18,15020,2025-10-21 20:34:56.431,5
265,4.25,17980,2025-10-21 20:34:56.457,5
265,4.26,18000,2025-10-21 20:34:56.482,5
265,4.26,18020,2025-10-21 20:34:56.508,5
265,4.32,20980,2025-10-21 20:34:56.534,5.05
265,4.32,21000,2025-10-21 20:34:56.562,5.05
265,4.32,21020,2025-10-21 20:34:56.587,5.05
265,4.38,23980,2025-10-21 20:34:56.614,5.05
265,4.38,24000,2025-10-21 20:34:56.640,5.05
265,4.38,24020,2025-10-21 20:34:56.665,5.05
265,4.43,26980,2025-10-21 20:34:56.692,5.05
265,4.43,27000,2025-10-21 20:34:56.717,5.05
265,4.43,27020,2025-10-21 20:34:56.743,5.05
265,4.48,29980,2025-10-21 20:34:56.768,5.05
265,4.48,30000,2025-10-21 20:34:56.793,5.05
265,4.48,30020,2025-10-21 20:34:56.820,5.05
270,3.47,2980,2025-10-21 20:34:56.055,4.85
270,3.48,3000,2025-10-21 20:34:56.083,4.85
270,3.48,3020,2025-10-21 20:34:56.115,4.85
270,3.78,5980,2025-10-21 20:34:56.140,4.90
270,3.78,6000,2025-10-21 20:34:56.168,4.90
270,3.78,6020,2025-10-21 20:34:56.194,4.90
270,3.95,8980,2025-10-21 20:34:56.220,4.95
270,3.95,9000,2025-10-21 20:34:56.247,4.95
270,3.96,9020,2025-10-21 20:34:56.273,4.95
270,4.08,11980,2025-10-21 20:34:56.301,4.95
270,4.08,12000,2025-10-21 20:34:56.327,4.95
270,4.08,12020,2025-10-21 20:34:56.353,5
270,4.18,14980,2025-10-21 20:34:56.381,5
270,4.18,15000,2025-10-21 20:34:56.406,5
270,4.18,15020,2025-10-21 20:34:56.433,5
270,4.25,17980,2025-10-21 20:34:56.458,5
270,4.26,18000,2025-10-21 20:34:56.484,5
270,4.26,18020,2025-10-21 20:34:56.511,5
270,4.32,20980,2025-10-21 20:34:56.536,5.05
270,4.32,21000,2025-10-21 20:34:56.564,5.05
270,4.32,21020,2025-10-21 20:34:56.589,5.05
270,4.38,23980,2025-10-21 20:34:56.616,5.05
270,4.38,24000,2025-10-21 20:34:56.641,5.05
270,4.38,24020,2025-10-21 20:34:56.667,5.05
270,4.43,26980,2025-10-21 20:34:56.694,5.05
270,4.43,27000,2025-10-21 20:34:56.719,5.05
270,4.43,27020,2025-10-21 20:34:56.745,5.05
270,4.48,29980,2025-10-21 20:34:56.770,5.05
270,4.48,30000,2025-10-21 20:34:56.795,5.05
270,4.48,30020,2025-10-21 20:34:56.822,5.05
275,3.47,2980,2025-10-21 20:34:56.057,4.95
275,3.48,3000,2025-10-21 20:34:56.085,4.95
275,3.48,3020,2025-10-21 20:34:56.117,4.95
275,3.78,5980,2025-10-21 20:34:56.142,5
275,3.78,6000,2025-10-21 20:34:56.170,5
275,3.78,6020,2025-10-21 20:34:56.196,5
275,3.95,8980,2025-10-21 20:34:56.222,5.05
275,3.95,9000,2025-10-21 20:34:56.249,5.05
275,3.96,9020,2025-10-21 20:34:56.275,5.05
275,4.08,11980,2025-10-21 20:34:56.303,5.05
275,4.08,12000,2025-10-21 20:34:56.329,5.05
275,4.08,12020,2025-10-21 20:34:56.355,5.10
275,4.18,14980,2025-10-21 20:34:56.382,5.10
275,4.18,15000,2025-10-21 20:34:56.408,5.10
275,4.18,15020,2025-10-21 20:34:56.435,5.10
275,4.25,17980,2025-10-21 20:34:56.460,5.10
275,4.26,18000,2025-10-21 20:34:56.487,5.10
275,4.26,18020,2025-10-21 20:34:56.513,5.10
275,4.32,20980,2025-10-21 20:34:56.538,5.15
275,4.32,21000,2025-10-21 20:34:56.566,5.15
275,4.32,21020,2025-10-21 20:34:56.591,5.15
275,4.38,23980,2025-10-21 20:34:56.618,5.15
275,4.38,24000,2025-10-21 20:34:56.643,5.15
275,4.38,24020,2025-10-21 20:34:56.669,5.15
275,4.43,26980,2025-10-21 20:34:56.696,5.15
275,4.43,27000,2025-10-21 20:34:56.721,5.15
275,4.43,27020,2025-10-21 20:34:56.747,5.15
275,4.48,29980,2025-10-21 20:34:56.772,5.15
275,4.48,30000,2025-10-21 20:34:56.797,5.15
275,4.48,30020,2025-10-21 20:34:56.823,5.15
355,3.47,2980,2025-10-21 20:34:56.060,4.95
355,3.48,3000,2025-10-21 20:34:56.087,4.95
355,3.48,3020,2025-10-21 20:34:56.119,4.95
355,3.78,5980,2025-10-21 20:34:56.144,5
355,3.78,6000,2025-10-21 20:34:56.172,5
355,3.78,6020,2025-10-21 20:34:56.198,5
355,3.95,8980,2025-10-21 20:34:56.224,5.05
355,3.95,9000,2025-10-21 20:34:56.251,5.05
355,3.96,9020,2025-10-21 20:34:56.277,5.05
355,4.08,11980,2025-10-21 20:34:56.305,5.05
355,4.08,12000,2025-10-21 20:34:56.331,5.05
