angle,dir,adc
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,16
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,12
29,1,0
30,1,15
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,16
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,24
65,1,33
66,1,71
67,1,73
68,1,103
69,1,109
70,1,123
71,1,141
72,1,165
73,1,172
74,1,199
75,1,217
76,1,230
77,1,254
78,1,268
79,1,290
80,1,306
81,1,324
82,1,341
83,1,357
84,1,374
85,1,405
86,1,414
87,1,431
88,1,445
89,1,469
90,1,478
91,1,496
92,1,512
93,1,523
94,1,529
95,1,557
96,1,568
97,1,582
98,1,609
99,1,627
100,1,643
101,1,662
102,1,688
103,1,696
104,1,716
105,1,732
106,1,743
107,1,757
108,1,769
109,1,787
110,1,806
111,1,823
112,1,840
113,1,858
114,1,873
115,1,888
116,1,905
117,1,925
118,1,936
119,1,944
120,1,964
121,1,980
122,1,989
123,1,1017
124,1,1023
125,1,1023
126,1,1023
127,1,1023
128,1,1023
129,1,1023
130,1,1023
131,1,1023
132,1,1023
133,1,1023
134,1,1023
135,1,1023
136,1,1023
137,1,1023
138,1,1023
139,1,1023
140,1,1023
141,1,1023
142,1,1023
143,1,1023
144,1,1023
145,1,1023
146,1,1023
147,1,1012
148,1,1023
149,1,1023
150,1,1023
151,1,1023
152,1,1023
153,1,1023
154,1,1023
155,1,1023
156,1,1023
157,1,1023
158,1,1023
159,1,1023
160,1,1023
161,1,1023
162,1,1023
163,1,1023
164,1,1023
165,1,1023
166,1,1023
167,1,1023
168,1,1023
169,1,1023
170,1,1023
171,1,1023
172,1,1023
173,1,1023
174,1,1023
175,1,1023
176,1,1023
177,1,1023
178,1,1023
179,1,1023
180,-1,1023
179,-1,1023
178,-1,1023
177,-1,1023
176,-1,1023
175,-1,1023
174,-1,1023
173,-1,1023
172,-1,1023
171,-1,1023
170,-1,1016
169,-1,1023
168,-1,1023
167,-1,1023
