angle,dir,adc
0,1,177
1,1,61
2,1,40
3,1,41
4,1,43
5,1,44
6,1,46
7,1,72
8,1,49
9,1,75
10,1,52
11,1,59
12,1,55
13,1,57
14,1,58
15,1,60
16,1,62
17,1,63
18,1,65
19,1,66
20,1,67
21,1,69
22,1,70
23,1,72
24,1,73
25,1,74
26,1,96
27,1,77
28,1,99
29,1,80
30,1,83
31,1,83
32,1,85
33,1,86
34,1,88
35,1,89
36,1,91
37,1,92
38,1,93
39,1,95
40,1,96
41,1,98
42,1,99
43,1,101
44,1,103
45,1,127
46,1,105
47,1,109
48,1,109
49,1,110
50,1,111
51,1,113
52,1,114
53,1,116
54,1,118
55,1,120
56,1,122
57,1,123
58,1,124
59,1,126
60,1,127
61,1,129
62,1,159
63,1,131
64,1,157
65,1,135
66,1,137
67,1,138
68,1,139
69,1,140
70,1,142
71,1,144
72,1,146
73,1,147
74,1,148
75,1,150
76,1,151
77,1,152
78,1,154
79,1,178
80,1,157
81,1,170
82,1,160
83,1,162
84,1,164
85,1,165
86,1,167
87,1,169
88,1,170
89,1,172
90,1,173
91,1,174
92,1,175
93,1,177
94,1,178
95,1,179
96,1,203
97,1,181
98,1,199
99,1,184
100,1,186
101,1,187
102,1,189
103,1,191
104,1,193
105,1,194
106,1,196
107,1,197
108,1,198
109,1,199
110,1,200
111,1,222
112,1,203
113,1,207
114,1,207
115,1,209
116,1,210
117,1,214
118,1,216
119,1,224
120,1,229
121,1,232
122,1,241
123,1,246
124,1,258
125,1,264
126,1,285
127,1,276
128,1,283
129,1,285
130,1,294
131,1,297
132,1,303
133,1,313
134,1,316
135,1,322
136,1,330
137,1,336
138,1,343
139,1,348
140,1,354
141,1,372
142,1,362
143,1,384
144,1,372
145,1,379
146,1,385
147,1,393
148,1,399
149,1,402
150,1,405
151,1,413
152,1,418
153,1,425
154,1,435
155,1,439
156,1,443
157,1,451
158,1,469
159,1,463
160,1,469
161,1,474
162,1,480
163,1,487
164,1,491
165,1,499
166,1,505
167,1,510
168,1,515
169,1,519
170,1,523
171,1,531
172,1,537
173,1,544
174,1,545
175,1,556
176,1,560
177,1,569
178,1,575
179,1,578
180,-1,580
179,-1,589
178,-1,589
177,-1,589
176,-1,589
175,-1,589
174,-1,589
173,-1,589
172,-1,603
171,-1,588
170,-1,583
169,-1,577
168,-1,573
167,-1,569
166,-1,559
165,-1,554
164,-1,551
163,-1,543
162,-1,537
161,-1,533
160,-1,527
159,-1,524
158,-1,518
157,-1,518
156,-1,511
155,-1,504
154,-1,499
