angle,dir,adc
0,1,276
1,1,254
2,1,240
3,1,219
4,1,185
5,1,186
6,1,189
7,1,206
8,1,195
9,1,200
10,1,202
11,1,207
12,1,211
13,1,215
14,1,218
15,1,222
16,1,226
17,1,230
18,1,233
19,1,237
20,1,240
21,1,247
22,1,250
23,1,253
24,1,271
25,1,263
26,1,272
27,1,274
28,1,278
29,1,282
30,1,286
31,1,290
32,1,293
33,1,298
34,1,302
35,1,307
36,1,310
37,1,313
38,1,318
39,1,322
40,1,325
41,1,339
42,1,330
43,1,337
44,1,341
45,1,346
46,1,348
47,1,353
48,1,358
49,1,362
50,1,367
51,1,369
52,1,373
53,1,378
54,1,379
55,1,381
56,1,383
57,1,386
58,1,400
59,1,393
60,1,404
61,1,404
62,1,408
63,1,411
64,1,417
65,1,422
66,1,428
67,1,432
68,1,434
69,1,439
70,1,443
71,1,445
72,1,449
73,1,453
74,1,458
75,1,472
76,1,465
77,1,472
78,1,474
79,1,479
80,1,481
81,1,484
82,1,490
83,1,493
84,1,497
85,1,500
86,1,505
87,1,509
88,1,514
89,1,517
90,1,521
91,1,523
92,1,536
93,1,532
94,1,534
95,1,537
96,1,542
97,1,545
98,1,548
99,1,552
100,1,557
101,1,560
102,1,563
103,1,568
104,1,573
105,1,576
106,1,582
107,1,593
108,1,588
109,1,590
110,1,593
111,1,598
112,1,602
113,1,605
114,1,608
115,1,612
116,1,616
117,1,620
118,1,624
119,1,628
120,1,630
121,1,634
122,1,646
123,1,641
124,1,651
125,1,649
126,1,653
127,1,655
128,1,659
129,1,662
130,1,665
131,1,667
132,1,670
133,1,674
134,1,678
135,1,681
136,1,683
137,1,687
138,1,690
139,1,701
140,1,699
141,1,701
142,1,703
143,1,706
144,1,711
145,1,715
146,1,716
147,1,720
148,1,721
149,1,724
150,1,728
151,1,731
152,1,734
153,1,737
154,1,741
155,1,744
156,1,746
157,1,750
158,1,752
159,1,755
160,1,757
161,1,760
162,1,764
163,1,766
164,1,770
165,1,773
166,1,775
167,1,779
168,1,781
169,1,788
170,1,787
171,1,789
172,1,794
173,1,796
174,1,799
175,1,804
176,1,806
177,1,810
178,1,813
179,1,815
180,-1,816
179,-1,818
178,-1,818
177,-1,818
176,-1,818
175,-1,818
174,-1,818
173,-1,818
172,-1,818
171,-1,818
170,-1,818
169,-1,818
