angle,dir,adc
0,1,538
1,1,548
2,1,548
3,1,545
4,1,529
5,1,532
6,1,530
7,1,528
8,1,534
9,1,534
10,1,539
11,1,542
12,1,553
13,1,552
14,1,554
15,1,556
16,1,535
17,1,527
18,1,555
19,1,560
20,1,561
21,1,491
22,1,605
23,1,604
24,1,604
25,1,605
26,1,603
27,1,604
28,1,604
29,1,604
30,1,606
31,1,605
32,1,605
33,1,604
34,1,604
35,1,603
36,1,603
37,1,604
38,1,598
39,1,593
40,1,594
41,1,593
42,1,601
43,1,602
44,1,598
45,1,600
46,1,601
47,1,597
48,1,601
49,1,598
50,1,602
51,1,603
52,1,613
53,1,615
54,1,617
55,1,630
56,1,629
57,1,635
58,1,647
59,1,656
60,1,657
61,1,652
62,1,662
63,1,661
64,1,663
65,1,677
66,1,667
67,1,673
68,1,685
69,1,695
70,1,706
71,1,712
72,1,722
73,1,728
74,1,732
75,1,741
76,1,745
77,1,749
78,1,753
79,1,766
80,1,775
81,1,781
82,1,762
83,1,776
84,1,783
85,1,795
86,1,803
87,1,815
88,1,819
89,1,828
90,1,837
91,1,849
92,1,857
93,1,864
94,1,864
95,1,883
96,1,891
97,1,900
98,1,911
99,1,921
100,1,934
101,1,940
102,1,949
103,1,960
104,1,972
105,1,1001
106,1,1007
107,1,1007
108,1,1010
109,1,1010
110,1,1006
111,1,1007
112,1,1008
113,1,1009
114,1,1007
115,1,1008
116,1,1007
117,1,1009
118,1,1007
119,1,1007
120,1,1007
121,1,1006
122,1,1007
123,1,1007
124,1,1006
125,1,1006
126,1,1007
127,1,1007
128,1,1008
129,1,1006
130,1,1003
131,1,1007
132,1,1004
133,1,1003
134,1,1005
135,1,1005
136,1,1004
137,1,1005
138,1,1007
139,1,1006
140,1,1005
141,1,1007
142,1,1007
143,1,1006
144,1,1006
145,1,1006
146,1,1008
147,1,1008
148,1,1005
149,1,1006
150,1,1006
151,1,1006
152,1,1007
153,1,1004
154,1,1007
155,1,1007
156,1,1007
157,1,1005
158,1,1007
159,1,1007
160,1,1007
161,1,1005
162,1,1005
163,1,1003
164,1,1006
165,1,1008
166,1,1006
167,1,1008
168,1,1006
169,1,1008
170,1,1007
171,1,1007
172,1,1007
173,1,1007
174,1,1006
175,1,1007
176,1,1007
177,1,1009
178,1,1007
179,1,1006
180,-1,1006
179,-1,1008
178,-1,1008
177,-1,1006
176,-1,1006
175,-1,1006
174,-1,1008
173,-1,1008
172,-1,1005
171,-1,1006
170,-1,1006
169,-1,1007
168,-1,1008
167,-1,1007
166,-1,1006
165,-1,1008
164,-1,1006
163,-1,1009
162,-1,1006
161,-1,1008
160,-1,1007
159,-1,1005
158,-1,1005
157,-1,1007
156,-1,1007
155,-1,1008
154,-1,1006
153,-1,1004
152,-1,1006
151,-1,1007
150,-1,1008
149,-1,1005
148,-1,1007
147,-1,1007
146,-1,1007
145,-1,1007
144,-1,1007
143,-1,1009
142,-1,1008
141,-1,1008
140,-1,1007
139,-1,1007
138,-1,1007
137,-1,1008
136,-1,1005
135,-1,1007
134,-1,1007
133,-1,1007
132,-1,1006
131,-1,1006
130,-1,1003
129,-1,1006
128,-1,1007
127,-1,1007
126,-1,1005
125,-1,1006
124,-1,1007
123,-1,1006
122,-1,1007
121,-1,1007
120,-1,1003
119,-1,1007
118,-1,1006
117,-1,1002
116,-1,1004
115,-1,1006
114,-1,1007
113,-1,1006
112,-1,1008
111,-1,1007
110,-1,1007
109,-1,1006
108,-1,1007
107,-1,1005
106,-1,1006
105,-1,1008
104,-1,1008
103,-1,1008
102,-1,1005
101,-1,998
100,-1,969
99,-1,969
98,-1,951
97,-1,949
96,-1,939
95,-1,929
94,-1,914
93,-1,908
92,-1,896
91,-1,889
90,-1,880
89,-1,874
88,-1,864
87,-1,857
86,-1,843
85,-1,841
84,-1,835
83,-1,830
82,-1,822
81,-1,809
80,-1,807
79,-1,800
78,-1,794
77,-1,786
76,-1,778
75,-1,768
74,-1,759
73,-1,752
72,-1,747
71,-1,743
70,-1,736
69,-1,729
68,-1,724
67,-1,726
66,-1,724
65,-1,714
64,-1,713
63,-1,707
62,-1,699
61,-1,696
60,-1,695
59,-1,685
58,-1,676
57,-1,672
56,-1,672
55,-1,665
54,-1,663
53,-1,656
52,-1,656
51,-1,645
50,-1,639
49,-1,635
48,-1,633
47,-1,632
46,-1,626
45,-1,619
44,-1,623
43,-1,605
42,-1,608
41,-1,613
40,-1,613
39,-1,616
38,-1,618
37,-1,614
36,-1,619
35,-1,622
34,-1,623
33,-1,622
32,-1,625
31,-1,628
30,-1,628
29,-1,622
28,-1,616
27,-1,621
26,-1,621
25,-1,622
24,-1,623
23,-1,625
22,-1,624
21,-1,625
20,-1,627
19,-1,629
18,-1,627
17,-1,627
16,-1,629
15,-1,630
14,-1,630
13,-1,628
12,-1,628
11,-1,628
10,-1,629
9,-1,630
8,-1,631
7,-1,631
6,-1,630
5,-1,633
4,-1,633
3,-1,633
2,-1,634
1,-1,634
0,1,633
1,1,635
2,1,636
3,1,635
4,1,637
5,1,638
6,1,639
7,1,638
8,1,637
9,1,639
10,1,640
11,1,641
12,1,640
13,1,641
14,1,640
15,1,640
16,1,641
17,1,642
18,1,642
19,1,642
20,1,644
21,1,645
22,1,644
23,1,644
24,1,643
25,1,644
26,1,644
27,1,643
28,1,643
29,1,642
30,1,640
31,1,639
32,1,639
33,1,637
34,1,636
35,1,635
36,1,637
37,1,636
38,1,636
39,1,636
40,1,636
41,1,639
42,1,638
43,1,637
44,1,638
45,1,636
46,1,637
47,1,635
48,1,637
49,1,635
50,1,645
51,1,646
52,1,654
53,1,659
54,1,666
55,1,674
56,1,677
57,1,681
58,1,681
59,1,687
60,1,693
61,1,697
62,1,702
63,1,707
64,1,714
65,1,719
66,1,724
67,1,727
68,1,734
69,1,742
70,1,751
71,1,753
72,1,762
73,1,764
74,1,772
75,1,778
76,1,785
77,1,784
78,1,795
79,1,802
80,1,809
81,1,816
82,1,825
83,1,825
84,1,831
85,1,815
86,1,843
87,1,851
88,1,858
89,1,862
90,1,866
91,1,871
92,1,883
93,1,888
94,1,893
95,1,899
96,1,907
97,1,917
98,1,924
99,1,932
100,1,942
101,1,949
102,1,903
