angle,dir,adc
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,11
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,10
29,1,0
30,1,15
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,18
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,8
60,1,36
61,1,59
62,1,59
63,1,77
64,1,87
65,1,105
66,1,133
67,1,163
68,1,205
69,1,201
70,1,212
71,1,230
72,1,247
73,1,266
74,1,282
75,1,290
76,1,305
77,1,323
78,1,343
79,1,356
80,1,377
81,1,398
82,1,416
83,1,428
84,1,447
85,1,475
86,1,488
87,1,509
88,1,524
89,1,538
90,1,545
91,1,572
92,1,594
93,1,609
94,1,620
95,1,635
96,1,644
97,1,663
98,1,680
99,1,690
100,1,715
101,1,739
102,1,748
103,1,768
104,1,784
105,1,798
106,1,810
107,1,828
108,1,846
109,1,861
110,1,869
111,1,882
112,1,909
113,1,925
114,1,934
115,1,945
116,1,964
117,1,986
118,1,1003
119,1,1010
120,1,1023
121,1,1023
122,1,1023
123,1,1023
124,1,1023
125,1,1023
126,1,1023
127,1,1022
128,1,1023
129,1,1023
130,1,1023
131,1,1023
132,1,1019
133,1,1023
134,1,1023
135,1,1023
136,1,1023
137,1,1023
138,1,1023
139,1,1023
140,1,1023
141,1,1023
142,1,1023
143,1,1023
144,1,1023
145,1,1023
146,1,1023
147,1,1011
148,1,1021
149,1,1023
150,1,1023
151,1,1023
152,1,1023
153,1,1023
154,1,1023
155,1,1023
156,1,1023
157,1,1022
158,1,1023
159,1,1023
160,1,1016
161,1,1023
162,1,1022
163,1,1023
164,1,1023
165,1,1023
166,1,1023
167,1,1023
168,1,1023
169,1,1023
170,1,1023
171,1,1023
172,1,1023
173,1,1023
174,1,1023
175,1,1022
176,1,1021
177,1,1023
178,1,1023
179,1,1023
180,-1,1021
179,-1,1023
178,-1,1023
177,-1,1023
176,-1,1023
175,-1,1023
174,-1,1023
173,-1,1023
172,-1,1023
171,-1,1023
170,-1,1022
169,-1,1023
168,-1,1023
