angle,dir,adc
0,1,1
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,20
66,1,46
67,1,56
68,1,67
69,1,85
70,1,113
71,1,124
72,1,150
73,1,170
74,1,191
75,1,205
76,1,221
77,1,234
78,1,252
79,1,275
80,1,289
81,1,298
82,1,314
83,1,344
84,1,357
85,1,372
86,1,390
87,1,405
88,1,422
89,1,432
90,1,446
91,1,460
92,1,481
93,1,494
94,1,509
95,1,517
96,1,531
97,1,550
98,1,585
99,1,597
100,1,615
101,1,619
102,1,638
103,1,672
104,1,678
105,1,690
106,1,718
107,1,733
108,1,744
109,1,762
110,1,784
111,1,795
112,1,809
113,1,836
114,1,857
115,1,863
116,1,866
117,1,837
118,1,901
119,1,912
120,1,923
121,1,936
122,1,964
123,1,993
124,1,996
125,1,1010
126,1,1011
127,1,1023
128,1,1023
129,1,1020
130,1,1023
131,1,1022
132,1,1023
133,1,1023
134,1,1023
135,1,1023
136,1,1023
137,1,1023
138,1,1023
139,1,1022
140,1,1023
141,1,1023
142,1,1023
143,1,1023
144,1,1023
145,1,1023
146,1,1023
147,1,968
148,1,1023
149,1,1023
150,1,1023
151,1,1022
152,1,1023
153,1,1023
154,1,1023
155,1,1023
156,1,1023
157,1,1023
158,1,1023
159,1,1023
160,1,1023
161,1,1023
162,1,1023
163,1,1023
164,1,1023
165,1,1023
166,1,1023
167,1,1023
168,1,1023
169,1,1023
170,1,1023
171,1,1023
172,1,1023
173,1,1023
174,1,1023
175,1,1019
176,1,1023
177,1,1023
178,1,1023
179,1,1023
180,-1,1023
179,-1,1023
178,-1,1023
177,-1,1023
176,-1,1023
175,-1,1023
174,-1,1023
173,-1,1023
172,-1,1023
171,-1,1023
170,-1,1023
169,-1,1023
168,-1,1023
167,-1,1020
166,-1,1023
165,-1,1023
164,-1,1023
163,-1,1023
162,-1,1023
161,-1,1023
160,-1,1021
159,-1,1023
158,-1,1023
157,-1,1018
156,-1,1023
155,-1,1023
154,-1,1023
153,-1,999
152,-1,1023
151,-1,1023
150,-1,1022
149,-1,1023
148,-1,1022
147,-1,1022
146,-1,1023
145,-1,1023
144,-1,1023
143,-1,1018
142,-1,1023
141,-1,1022
140,-1,1023
139,-1,1023
138,-1,1023
137,-1,1021
136,-1,1022
135,-1,1023
134,-1,1023
133,-1,1022
132,-1,1021
131,-1,1022
130,-1,1021
129,-1,1023
128,-1,1023
127,-1,1023
126,-1,1022
125,-1,1023
124,-1,1023
123,-1,1022
122,-1,1017
121,-1,1012
120,-1,992
119,-1,988
118,-1,969
117,-1,946
116,-1,920
115,-1,913
114,-1,899
113,-1,882
112,-1,865
111,-1,862
110,-1,853
109,-1,836
108,-1,812
107,-1,794
106,-1,783
105,-1,760
104,-1,736
103,-1,731
102,-1,714
101,-1,698
100,-1,683
99,-1,667
98,-1,649
97,-1,635
96,-1,625
95,-1,604
94,-1,595
93,-1,561
92,-1,543
91,-1,530
90,-1,514
