angle,dir,adc
0,1,245
1,1,219
2,1,273
3,1,303
4,1,341
5,1,300
6,1,299
7,1,293
8,1,283
9,1,288
10,1,220
11,1,245
12,1,197
13,1,251
14,1,288
15,1,287
16,1,232
17,1,236
18,1,274
19,1,249
20,1,241
21,1,204
22,1,231
23,1,271
24,1,244
25,1,271
26,1,78
27,1,150
28,1,104
29,1,297
30,1,73
31,1,84
32,1,133
33,1,157
34,1,160
35,1,315
36,1,235
37,1,223
38,1,209
39,1,104
40,1,122
41,1,255
42,1,236
43,1,274
44,1,86
45,1,70
46,1,66
47,1,103
48,1,100
49,1,76
50,1,109
51,1,73
52,1,84
53,1,41
54,1,76
55,1,78
56,1,59
57,1,98
58,1,84
59,1,112
60,1,125
61,1,121
62,1,79
63,1,90
64,1,99
65,1,135
66,1,118
67,1,142
68,1,113
69,1,68
70,1,70
71,1,121
72,1,144
73,1,67
74,1,93
75,1,94
76,1,112
77,1,136
78,1,120
79,1,123
80,1,126
81,1,83
82,1,83
83,1,90
84,1,94
85,1,94
86,1,97
87,1,83
88,1,89
89,1,92
90,1,122
91,1,104
92,1,108
93,1,80
94,1,137
95,1,100
96,1,108
97,1,97
98,1,84
99,1,55
100,1,120
101,1,127
102,1,312
103,1,236
104,1,242
105,1,273
106,1,264
107,1,272
108,1,215
109,1,207
110,1,230
111,1,159
112,1,161
113,1,180
114,1,169
115,1,219
116,1,240
117,1,149
118,1,289
119,1,323
120,1,273
121,1,372
122,1,394
123,1,357
124,1,518
125,1,395
126,1,308
127,1,656
128,1,405
129,1,153
130,1,588
131,1,503
132,1,527
133,1,597
134,1,55
135,1,597
136,1,592
137,1,594
138,1,385
139,1,564
140,1,612
141,1,536
142,1,412
143,1,447
144,1,420
145,1,529
146,1,447
147,1,626
148,1,581
149,1,549
150,1,553
151,1,593
152,1,578
153,1,558
154,1,443
155,1,227
156,1,530
157,1,701
158,1,643
159,1,451
160,1,269
161,1,545
162,1,601
163,1,637
164,1,664
165,1,641
166,1,616
167,1,734
168,1,719
169,1,269
170,1,561
171,1,574
172,1,703
173,1,644
174,1,506
175,1,647
176,1,575
177,1,667
178,1,686
179,1,657
180,-1,566
179,-1,309
178,-1,356
177,-1,326
176,-1,417
175,-1,647
174,-1,679
173,-1,734
172,-1,557
171,-1,647
170,-1,686
169,-1,650
168,-1,703
167,-1,702
166,-1,624
165,-1,521
164,-1,447
163,-1,736
162,-1,634
161,-1,644
160,-1,445
159,-1,623
158,-1,584
157,-1,573
156,-1,650
155,-1,189
154,-1,574
153,-1,743
152,-1,654
151,-1,608
150,-1,542
149,-1,673
148,-1,310
147,-1,630
146,-1,640
145,-1,585
144,-1,601
143,-1,642
142,-1,762
141,-1,568
140,-1,557
139,-1,607
138,-1,614
137,-1,370
136,-1,604
135,-1,444
134,-1,574
133,-1,495
